サンフレ,Sanfrecce
サンフレッチェ,Sanfrecce
スタジアム,stadium
ビューイング,viewing
男子チーム,đội nam
女子チーム,đội nữ
ミュージアム,museum
千葉,Chiba
スワローズ,Swallows
荒井,Arai
直属上長,cấp trên trực tiếp
登録,Đăng ký
販売不可席,Ghế không thể bán
副券,sub ticket
シーズンシート,season seat
シーチケ,season ticket
会場,địa điểm
プレミアム,premium
南,nam
トースト,toast message
席種,loại ghế
リセール,resale
流通,phân phối
クラブ,câu lạc bộ
ギフト,Gift
席バンドル,gói ghế ngồi
仮押さえ,đặt chỗ dự kiến
取引先,đối tác
会員,hội viên
管轄,thẩm quyền
特販,giảm giá đặc biệt
戻入,hoàn nhập
興行,hoạt động giải trí
チケット売上,Doanh thu vé
チケット以外売上,Doanh thu ngoài vé
売上対象外,Không bán
発券,bán vé
識別,định danh
全角,full-width
カード名義人,Chủ thẻ
一般,thông thường
アンダーバー,gạch dưới
16進数ファイル,file hex
秘密鍵,Private key
ベクタ,Vector
興行種別,sự kiện giải trí
興行,sự kiện giải trí
当日券,vé vào ngày diễn ra sự kiện
発売,mở bán
スワレージ,Swarage (dịch vụ tích điểm dành riêng cho thành viên Swallows CREW!)
サンフレチケット,Sanfrecce Ticket
サンフレチケット,Sanfrecce Ticket
サンフレチケット,Sanfrecce Ticket
サンフレチケット,Sanfrecce Ticket
右揃え,Căn phải
活性,enable
価格表,bảng giá vé
セブン,Seven
リダイレクト,Direct lại
特殊文字,kí tự đặc biệt
顔文字,emoticons
テナント,tenant
マルチテナント,Multiple tenant
マイクロセグメンテーション,Micro-segmentation
ゼロトラストアーキテクチャ,Zero Trust Architecture
マイクロセグメンテーション,micro-segmentation
ゼロトラスト,Zero Trust
損害,thiệt hại
メルマガ,bản tin
シーチケ試合,trận đấu season ticket
一般試合,trận đấu thông thường
試合日程,lịch thi đấu
副券チケット,vé phụ
リーグ戦開幕戦,trận đấu đầu tiên của mùa giải
チケット価格,giá vé
会場,hội trường
シーズン,mùa giải
ゲート,cổng
入口,lối vào
券面,trên vé
レジーナ,Regina
お知らせテンプレート,template thông báo
役割,roles
権限,Permission
会員,thành viên
交換,trao đổi
三点,ellipsis
前提条件,Pre
グッズクーポン,coupon mua hàng
マイページ,Mypage
スタジアム,sân vận động
ページ送り機能,chức năng pagination
配達,giao hàng
領収書,biên lai
お渡し,giao nhận
積込,chất hàng
お届け先,địa chỉ giao hàng
拠点,cứ điểm
預かり金,số tiền đã nhận
積込,xếp hàng
ドライバー,tài xế
検品,kiểm định
認証,Xác thực
ログイン画面に戻る,Trở lại màn hình login
帰庫,trở về kho
直帰,"Về thẳng nhà, không qua kho"
確認,Xác nhận
業務開始,Bắt đầu công việc
贈答,quà tặng
婚礼,đám cưới
特納,đặc biệt
ホーム,Home
報告,Báo cáo
店舗立ち寄り,ghé qua cửa hàng
積込開始,Bắt đầu chất hàng
作業開始,Bắt đầu task
休憩,Giải lao
保留,Pending
訪問業務ホーム,trang chủ công việc giao hàng
積込終了,Kết thúc chất hàng
キャンセル,Cancel
電話,Gọi điện
家電リサイクル登録,Đăng ký tái chế thiết bị gia dụng
補足情報,Thông tin bổ sung
追加作業,Task bổ sung
次の書類を印刷する,In tài liệu tiếp theo
作業者にて確定,Xác nhận bởi người thao tác
代引,Thanh toán khi nhận hàng (COD)
現金,Tiền mặt
確定,Xác định
家電,thiết bị gia dụng
リサイクル,tái chế
送信,Gửi
釣銭,tiền thừa
紙,Giấy
電子レシート,Receipt điện tử
領収書,Invoice
電子,điện tử
レシート,receipt
配達予定エリア,Area dự kiến giao hàng
保留エリア,Area pending
保留解除,Hủy pending
未完了登録,đăng ký chưa hoàn thành
完了登録,đăng ký hoàn thành
帰庫,Về kho
直帰,Về thẳng nhà
ガントチャート,Gantchart
追加作業照会・編集,Tham chiếu・Edit Task bổ sung
取消済,Đã hủy
現金集金,thu tiền mặt
取消,Thu hồi
協力業者,partner
取消,hủy bỏ
引取,Thu hồi
配達種別,Loại giao hàng
伝票種別,loại phiếu
保留,pending
業務終了内容確認,Xác nhận nội dung kết thúc nghiệp vụ
作業者にて確認,Xác nhận phía người thực hiện
ご署名,Chữ ký
部店,cửa hàng/bộ phận
割り当て,điều phối
配車,điều phối
訪問業務ホーム,trang chủ công việc giao hàng
クリーニング,cleaning
お届け先郵便番号,Mã số bưu điện của nơi giao hàng
お届け先名,Tên khách hàng nhận
お届け先住所,Địa chỉ nơi giao hàng
書類,chứng từ
お客様住所,Địa chỉ khách hàng
帳票,hóa đơn
本部担当,Phụ trách trụ sở chính
拠点担当者,Người phụ trách cứ điểm
