ラボ,ODC (Labo)
開発者,Lập trình viên
テスター,Tester
通訳者,Thông dịch viên
オンサイト,Onsite
オフショア,Offshore
保守運用,Vận hành và bảo trì
工数（人月）,Công số (Người-Tháng)
単価,Đơn giá
金額,Thành tiền
請負,Hợp đồng khoán
仕様変更,Thay đổi yêu cầu
バージョンアップ,Nâng cấp phiên bản
脆弱性,Lỗ hổng bảo mật
バックアップ,Sao lưu
インフラ,Hạ tầng
データベース,Cơ sở dữ liệu
基本設計,Thiết kế cơ bản
結合テスト,Kiểm thử tích hợp
単体テスト,Kiểm thử đơn vị
受入テスト,Kiểm thử nghiệm thu
受入テスト,UAT
工程,Công đoạn
要件分析,Phân tích yêu cầu
要件定義,Định nghĩa yêu cầu
基本設計,Thiết kế cơ sở
製造,Sản xuất
納品物,Sản phẩm bàn giao
ソースコード,Mã nguồn
テストケース,Kịch bản kiểm thử
テスト報告書,Báo cáo kiểm thử
デプロイ,Triển khai
プロジェクト管理,Quản trị dự án
マイルストーン,Cột mốc
リリース,Phát hành
確認者,Người kiểm duyệt
承認者,Người phê duyệt
前提条件,Điều kiện tiên quyết
スコープ,Phạm vi
範囲外,Ngoài phạm vi
AIモデルの学習,Huấn luyện mô hình AI
チューニング,Tinh chỉnh (tuning)
プロンプト設計,Thiết kế prompt
セキュリティ診断,Đánh giá bảo mật
脆弱性診断,Đánh giá lỗ hổng
概算見積,Báo giá khái toán
多言語対応,Đa ngôn ngữ
SaaS型,SaaS
仕訳,Định khoản
負荷テスト,Kiểm thử tải
非機能要件,Yêu cầu phi chức năng
オーバーヘッド,Overhead
BrSE,BrSE
機能別分類表,Bảng phân loại theo chức năng
項番,Số thứ tự
顧客管理,Quản lý khách hàng
大分類,Phân loại lớn
中分類,Phân loại vừa
小分類,Phân loại nhỏ
共通機能,Chức năng chung
調整WBSポイント,Điểm WBS điều chỉnh
製造工数,Công số sản xuất
人日,Người-ngày
ダッシュボード画面,Màn hình Dashboard
AI処理の連携基盤,Nền tảng liên kết xử lý AI
ソースベース構築,Xây dựng Source base
データの出力（エクスポート）,Xuất dữ liệu (Export)
データベース構築,Xây dựng cơ sở dữ liệu
AWSインフラ構築,Xây dựng hạ tầng AWS
認証,Xác thực
ツリー表示,Hiển thị dạng cây
ドラッグ＆ドロップ,Kéo và thả
処理状況のサマリー,Tóm tắt trạng thái xử lý
絞り込み,Lọc
AI Bot,AI Bot
タグ,Thẻ (tag)
カンバン表示,Hiển thị Kanban
期限超過の警告表示,Cảnh báo quá hạn
勘定科目,Tài khoản kế toán
マッピング,Mapping
仕訳日記帳,Nhật ký chứng từ
信頼度,Mức độ tin cậy
WBSポイント,Điểm WBS
特別調整率,Tỷ lệ điều chỉnh đặc biệt
工数,Công số
